Settlement Location,InferredLocationType,est_Latitude,est_Longitude
WR.VOLT.0093,Resource,38.37674608950846,-95.91308416276031
WR.VOLT.0019,Resource,37.38456318825602,-95.99191466518602
WR.VOLT.0101,Resource,37.25113638688202,-96.06623496804166
CSWS.VOLT.0078,Resource,34.69107075005344,-98.2055336203408
CSWS.VOLT.0082,Resource,36.08405797387533,-95.97943444492915
CSWS.VOLT.0081,Resource,36.09925160746612,-95.766140312562
OKGE.VOLT.0062,Resource,35.514955274737744,-96.61255235991483
AECI,Interface,37.863902292722074,-93.23210751170711
MOWR,Interface,37.58905459814192,-93.36797025058898
CSWS.VOLT.0079,Resource,36.04838078130083,-95.6595641399966
CSWS.VOLT.0084,Resource,36.28104502729881,-95.00268742874408
OKGE.VOLT.0026,Resource,35.493343193774564,-96.58290213722488
OKGE.VOLT.0063,Resource,34.51749828927874,-96.94717725418316
CSWS.VOLT.0077,Resource,36.005755642742685,-95.95176280988015
BLKW,Interface,34.27210399722755,-104.84423763483774
CSWS.VOLT.0114,Resource,36.376013343058624,-95.20769922426302
OKGE.VOLT.0061,Resource,35.42225416539321,-96.54713180705049
OKGE.VOLT.0071,Resource,35.57318061471214,-94.87054800449559
KCPL.VOLT.0012,Resource,39.24719257549829,-93.61239885616466
KCPL.VOLT.0100,Resource,39.27212129008101,-93.6309642338673
COWP,Load,37.56921827928749,-93.26098531274685
SPS.VOLT.0104,Resource,35.39081280091457,-100.70250701938788
AECC_CSWS,Load,34.30931645464927,-94.38413636903782
AECC_ELKINS,Resource,35.95036252079592,-94.00876565554621
AECC_FITZHUGH,Resource,35.45689974770291,-93.8038537910234
AECC_FLTCREEK,Resource,36.274204342833436,-94.54330183565263
AECC_FULTON,Resource,33.60876327562181,-93.78575383524785
AECC_HYDRO13,Resource,35.36776901297591,-94.27362375525698
AECC_JWTURK,Resource,33.60445192273038,-93.78556844763179
AEPM_CSWS,Load,35.61455733047127,-94.63208784686961
CSWARSENALHILL5,Resource,32.524979888152345,-93.76883846799066
CSWCOMANCHE1,Resource,34.539913966262695,-98.2729015622732
CSWETTURK,Resource,33.638553634621275,-93.8099696759478
CSWFLINTCREEK1,Resource,36.226472561697044,-94.56207348786532
CSWJLSTALL,Resource,32.512927846829314,-93.79128787961083
CSWKNOXLEE5,Resource,32.372708973241565,-94.63451238651227
CSWLIEBERMAN3,Resource,32.74217680220079,-93.96995337938127
CSWLIEBERMAN4,Resource,32.69739785145614,-93.96883671775399
CSWMATTISON1,Resource,36.194339162046894,-94.27349245968001
CSWMATTISON2,Resource,36.16806015031907,-94.28165122325197
CSWMATTISON3,Resource,36.19123471406806,-94.30063351910928
CSWMATTISON4,Resource,36.170193529666314,-94.23002881911849
CSWMSTURK,Resource,33.65871671406546,-93.81568422039635
CSWNARROWS1,Resource,34.20022425353824,-93.72231943893463
CSWNORTHEASTERN1,Resource,36.4079587887465,-95.67570507466883
CSWNORTHEASTERN2,Resource,36.389590475943066,-95.7046940096587
CSWNORTHEASTERN3,Resource,36.4338139805776,-95.70748949649095
CSWPIRKEY1,Resource,32.45554712442879,-94.49050801769856
CSWRIVERSIDE1,Resource,36.03329591027846,-95.94644597619597
CSWRIVERSIDE2,Resource,35.9840635281075,-95.90675619377859
CSWRIVERSIDE3,Resource,36.00170508178002,-95.94195060561414
CSWRIVERSIDE4,Resource,35.973837799182476,-95.97316989606452
CSWS.7CBY.7CBYWIND,Resource,35.25274844441806,-98.94289262448613
CSWS.AECC.DRIFTSAND,Resource,35.342966735811096,-96.60547517548086
CSWS.AECC.WILDHORSE,Resource,34.555701010255156,-95.20633004302302
CSWS.EKCW.EKCW,Resource,35.47134494673607,-99.88974677109478
CSWS.FPLP.RSES.MSR,Resource,34.706497413022554,-97.85906732986409
CSWS.GREENCOUNTRY,Hub,36.01777911416312,-95.93431541420358
CSWS.GREENCOUNTRY_2,Hub,36.02603161857847,-95.94898410706472
CSWS.GREENCOUNTRY_3,Hub,36.034517510898425,-95.95881517687783
CSWS.HCPP.RBPW,Resource,35.34119574710467,-96.61464818406341
CSWS.OMPA.TURK,Resource,33.64189831872776,-93.78828758274881
CSWS.RSPA.RUSHSPRWNDA,Resource,34.69699055135415,-97.82191468212523
CSWS.RSPB.RUSHSPRWNDB,Resource,34.70595888502475,-97.83098727553167
CSWS.TNSK.CADO,Resource,34.98730764312832,-98.36864171043202
CSWS.TNSK.ELKCITY2,Resource,35.4443796865464,-99.92675684664736
CSWS.TNSK.GREENCOUNTRY,Resource,35.96745328899213,-95.89865491943085
CSWS.TNSK.GREENCOUNTRY2,Resource,35.96549504803088,-95.93648059743346
CSWS.TNSK.GREENCOUNTRY3,Resource,35.978388308669295,-95.95252692561937
CSWS.TNSK.KIAPB1,Resource,34.69372082124382,-95.95658433248295
CSWS.TNSK.KIAPB2,Resource,34.65518214826274,-95.96026237637975
CSWS.VOLT.0004,Resource,32.62200102843485,-94.45118283068093
CSWS.VOLT.0025,Hub,38.269535620701305,-93.79871965808452
CSWS.VOLT.0044,Resource,36.04834688857007,-96.02207552007337
CSWS.VOLT.0050,Resource,32.76764705926348,-94.42863288043566
CSWS.VOLT.0051,Resource,38.42034980282465,-93.45043767263842
CSWS.VOLT.0058,Hub,36.01258214781729,-94.40741904132602
CSWS.WTHW.WTHW,Resource,35.50910179077538,-98.77672764801657
CSWSEASTMAN,Resource,32.434978315870154,-94.70689310413542
CSWSOUTHWESTERN1,Resource,35.059050426063884,-98.3605246429351
CSWSOUTHWESTERN2,Resource,35.09101728534843,-98.37434415919344
CSWSOUTHWESTERN3,Resource,35.10308126869824,-98.36062865128582
CSWSOUTHWESTERN4,Resource,35.10882747593161,-98.41524840543815
CSWSOUTHWESTERN5,Resource,35.12144588865624,-98.3507749822636
CSWSWTURK,Resource,33.64524219271846,-93.79357893131704
CSWS_ETEC_LOAD,Load,33.38076330797464,-93.79022125356389
CSWS_OMPA_PIRKEY,Resource,32.46639420012827,-94.5040115225243
CSWTULSA2,Resource,36.139297379749614,-96.01016046476569
CSWTULSA4,Resource,36.12367685560089,-96.00552942481015
CSWWELEETKA4,Resource,35.31187418295072,-96.13992864435606
CSWWELEETKA5,Resource,35.32475088343354,-96.15678201644597
CSWWELSH1,Resource,33.02692329318308,-94.86955429673327
CSWWELSH3,Resource,33.06188072145953,-94.89447459454233
CSWWILKES1,Resource,32.859368422670066,-94.51787766159927
CSWWILKES2,Resource,32.859982463511415,-94.53278915638906
CSWWILKES3,Resource,32.86355275871322,-94.55872813849678
DEMPSEY_RIDGE_WIND,Resource,35.54705265179033,-99.79831842207241
GATEWAY_LOAD,Load,32.49824042994561,-94.42561623809915
GATEWAY_PLANT,Resource,32.495465273837745,-94.44661545733182
GSEC_GL_CSWS,Load,33.46754906442618,-99.9536783280073
HARRISON,Resource,32.3753992889804,-94.40931875762796
OKGE.VOLT.0028,Resource,35.47447061691897,-96.59094923035839
OKGE.VOLT.0039,Resource,34.56907134802684,-97.57484496560956
OMPA_AEL,Resource,35.993368601779,-96.01500757627244
OMPA_PAWHUSKA,Resource,36.683620575487744,-96.3177008119637
ONETA,Resource,35.98614944378146,-95.67320353683205
ONETA_2,Resource,36.03004470468985,-95.69569092463445
ONETA_3,Resource,36.02486709195755,-95.68737875246741
ONETA_4,Resource,35.995534083167456,-95.66878041983016
WFEC_RKYRIDGE_WIND_FARM,Resource,35.11245377247268,-98.9859919917661
CSWS.VOLT.0092,Resource,32.829298717604104,-93.9582717356541
OKGE.VOLT.0034,Resource,35.70932742063463,-95.06888283477141
OKGE.VOLT.0036,Resource,35.74051429347308,-95.11002401157427
EDDY,Interface,32.71893085155543,-104.10510702493929
